Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,drug_sensitivity,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,morphology,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR10416711,RNA-Seq,300,8304570300,PRJNA588180,SAMN13230678,3103246490,BxPC-3,Panceratic cancer cell line,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sensitive,SRX7114904,GSM4153736,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Epithelial,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:42:00Z,1,GSM4153736,BxPC-3,SRP229083
SRR10416712,RNA-Seq,300,9511493400,PRJNA588180,SAMN13230679,3539216849,BxPC-3,Panceratic cancer cell line,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",Sensitive,SRX7114905,GSM4153737,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Epithelial,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:49:00Z,1,GSM4153737,BxPC-3,SRP229083
SRR10416713,RNA-Seq,300,8518349100,PRJNA588180,SAMN13230690,3551703114,BxPC-3,Panceratic cancer cell line,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Sensitive,SRX7114906,GSM4153738,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Epithelial,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:40:00Z,1,GSM4153738,BxPC-3,SRP229083
SRR10416714,RNA-Seq,300,12133399500,PRJNA588180,SAMN13230689,4568314398,BxPC-3-GR,Panceratic cancer cell line,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",Resistant,SRX7114907,GSM4153739,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Mesenchymal,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:53:00Z,1,GSM4153739,BxPC-3-GR,SRP229083
SRR10416715,RNA-Seq,300,10375646100,PRJNA588180,SAMN13230688,3870486033,BxPC-3-GR,Panceratic cancer cell line,GEO,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",Resistant,SRX7114908,GSM4153740,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Mesenchymal,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:49:00Z,1,GSM4153740,BxPC-3-GR,SRP229083
SRR10416716,RNA-Seq,300,12009000300,PRJNA588180,SAMN13230686,4500474704,BxPC-3-GR,Panceratic cancer cell line,GEO,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",Resistant,SRX7114909,GSM4153741,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Mesenchymal,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:54:00Z,1,GSM4153741,BxPC-3-GR,SRP229083
SRR10416717,RNA-Seq,300,9916655100,PRJNA588180,SAMN13230685,3921917735,CFPAC-1,Panceratic cancer cell line,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",Sensitive,SRX7114910,GSM4153742,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Epithelial,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:47:00Z,1,GSM4153742,CFPAC-1,SRP229083
SRR10416718,RNA-Seq,300,6467329200,PRJNA588180,SAMN13230684,2566155078,CFPAC-1,Panceratic cancer cell line,GEO,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",Sensitive,SRX7114911,GSM4153743,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Epithelial,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:41:00Z,1,GSM4153743,CFPAC-1,SRP229083
SRR10416719,RNA-Seq,300,6508997700,PRJNA588180,SAMN13230683,2578128337,CFPAC-1,Panceratic cancer cell line,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",Sensitive,SRX7114912,GSM4153744,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Epithelial,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:38:00Z,1,GSM4153744,CFPAC-1,SRP229083
SRR10416720,RNA-Seq,300,10816259400,PRJNA588180,SAMN13230682,4040904324,CFPAC-1-GR,Panceratic cancer cell line,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",Resistant,SRX7114913,GSM4153745,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Epithelial,Homo sapiens,ILLUMINA,2020-02-20T00:00:00Z,2019-11-08T01:49:00Z,1,GSM4153745,CFPAC-1-GR,SRP229083
