sample_id	geo_accession	sra_run	cell_line	resistance	replicate
BxPC3_S1	GSM4153736	SRR10416711	BxPC-3	Sensitive	1
BxPC3_S2	GSM4153737	SRR10416712	BxPC-3	Sensitive	2
BxPC3_S3	GSM4153738	SRR10416713	BxPC-3	Sensitive	3
BxPC3_GR1	GSM4153739	SRR10416714	BxPC-3-GR	Resistant	1
BxPC3_GR2	GSM4153740	SRR10416715	BxPC-3-GR	Resistant	2
BxPC3_GR3	GSM4153741	SRR10416716	BxPC-3-GR	Resistant	3
CFPAC1_S1	GSM4153742	SRR10416717	CFPAC-1	Sensitive	1
CFPAC1_S2	GSM4153743	SRR10416718	CFPAC-1	Sensitive	2
CFPAC1_S3	GSM4153744	SRR10416719	CFPAC-1	Sensitive	3
CFPAC1_GR1	GSM4153745	SRR10416720	CFPAC-1-GR	Resistant	1
CFPAC1_GR2	GSM4153746	SRR10416721	CFPAC-1-GR	Resistant	2
CFPAC1_GR3	GSM4153747	SRR10416722	CFPAC-1-GR	Resistant	3
