"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0042254","ribosome biogenesis",319,-0.596014617389246,-2.84510745778661,1e-10,3.6725e-08,2.43659347598096e-08,2391,"tags=41%, list=17%, signal=35%","23246/6227/5822/387338/51504/79863/55695/27349/10775/23076/57418/51729/10171/5394/10813/57455/51547/115416/8225/23016/9816/51013/10969/2197/6205/1029/6223/55505/55661/22907/10528/91582/9092/55011/55352/54552/10436/29777/4809/56902/114049/6217/26168/54059/2257/23404/27043/6839/3669/3692/55651/54853/27341/10248/51042/85395/51116/55178/79039/708/84881/65095/81554/56342/84916/115939/90121/11157/64794/26284/50628/27079/7284/88745/23212/26574/64745/54606/79084/54433/10607/51367/51550/161424/54555/54913/79050/9277/57109/317781/57602/705/84306/8568/5901/113000/10514/9136/55272/90441/6838/118460/51491/51335/9775/79922/54663/84769/8602/117246/22984/10419/26155/5036/4706/9875/23481/51154/57647/92856/81875/6949/2091/64763/56915/26164/55794/81887/28987/65083/83743",NA
"GO:0006364","rRNA processing",231,-0.602273498811995,-2.77495216720908,1e-10,3.6725e-08,2.43659347598096e-08,2391,"tags=42%, list=17%, signal=35%","23246/6227/5822/387338/51504/79863/55695/10775/23076/57418/51729/10171/5394/10813/57455/51547/23016/51013/10969/1029/6223/55505/55661/10528/9092/55011/55352/10436/29777/4809/56902/114049/6217/26168/54059/23404/27043/6839/3669/3692/55651/54853/27341/10248/85395/55178/79039/84881/65095/56342/84916/115939/90121/11157/50628/27079/88745/23212/26574/54606/79084/54433/10607/51367/161424/54555/54913/79050/9277/57109/317781/57602/705/8568/113000/9136/55272/118460/9775/79922/54663/8602/117246/22984/10419/5036/9875/23481/51154/57647/92856/2091/56915/81887/28987/65083",NA
"GO:0016072","rRNA metabolic process",281,-0.575838452648841,-2.73992229247958,1e-10,3.6725e-08,2.43659347598096e-08,2391,"tags=40%, list=17%, signal=34%","23246/6227/5822/387338/51504/79863/55695/9328/10775/23076/57418/51729/4141/10171/5394/10813/57455/51547/23016/4609/51013/10969/284119/5434/1029/6223/55505/64425/55661/5435/10528/9092/55011/55352/10436/29777/4809/56902/114049/6217/26168/54059/1663/23404/27043/6839/3669/3692/55651/54853/27341/10248/85395/55178/79039/84881/65095/56342/84916/115939/90121/11157/50628/10849/27079/88745/23212/26574/54606/79084/54433/162989/10607/51367/161424/54555/54913/79050/9277/57109/317781/9533/57602/705/8568/5441/113000/9136/55272/25885/118460/9775/79922/54663/55506/2975/9555/8602/117246/22984/10419/5036/9875/23481/51154/57647/92856/6949/2091/56915/81887/28987/65083",NA
"GO:0000387","spliceosomal snRNP assembly",69,-0.690370712963241,-2.6659274785185,1e-10,3.6725e-08,2.43659347598096e-08,3011,"tags=68%, list=21%, signal=54%","9410/25804/57819/23020/25929/9128/10291/10907/6632/6637/10594/8175/9129/6626/10713/51690/10992/9733/83443/9092/6627/4809/84844/7375/6636/11157/79833/6631/6628/50628/79084/10262/10078/27339/9416/10421/24148/54496/79760/25980/9343/6625/10419/26121/23450/79171/6633",NA
"GO:0030490","maturation of SSU-rRNA",69,-0.679813214474671,-2.6251587657145,1e-10,3.6725e-08,2.43659347598096e-08,2370,"tags=49%, list=17%, signal=41%","6227/5822/51504/10171/10813/6223/10528/10436/29777/4809/56902/6217/27341/85395/65095/84916/115939/90121/11157/88745/23212/26574/10607/161424/79050/9277/9136/55272/8602/57647/92856/2091/28987/65083",NA
"GO:0032543","mitochondrial translation",127,-0.604613488987629,-2.5940920787125,1e-10,3.6725e-08,2.43659347598096e-08,2702,"tags=50%, list=19%, signal=41%","5018/285367/51373/6472/84545/51253/57505/64928/8846/51067/118487/80222/115416/124995/5188/51649/28973/740/65003/64981/26589/128308/116541/122704/90480/64975/79590/7818/23438/10573/78988/51073/51116/51204/708/23107/84881/64963/64976/29093/7284/28958/51264/54938/63875/26995/29074/64979/54998/54948/219927/3396/65993/23395/6182/65005/51258/51335/51081/84769/124454/6183/26164/55052",NA
"GO:0042273","ribosomal large subunit biogenesis",75,-0.648630072882134,-2.55846059409412,1e-10,3.6725e-08,2.43659347598096e-08,2391,"tags=40%, list=17%, signal=33%","23246/387338/51504/57418/115416/8225/10969/22907/26168/27043/3692/55178/81554/56342/7284/23212/51550/90441/6838/51491/54663/117246/26155/4706/9875/23481/51154/26164/55794/81887",NA
"GO:0042274","ribosomal small subunit biogenesis",109,-0.588212317346686,-2.45329118227572,1e-10,3.6725e-08,2.43659347598096e-08,2473,"tags=41%, list=17%, signal=34%","6193/6227/5822/51504/79863/27349/10171/5394/10813/2197/6205/6223/10528/91582/10436/29777/4809/56902/6217/27341/85395/65095/81554/84916/115939/90121/11157/26284/88745/23212/26574/64745/10607/161424/79050/9277/9136/55272/6838/8602/57647/92856/2091/28987/65083",NA
"GO:0042773","ATP synthesis coupled electron transport",74,-0.614006972921055,-2.44624164277753,5.98534349821361e-09,1.21275442743114e-06,8.04626147269095e-07,3795,"tags=72%, list=27%, signal=53%","7388/9167/6391/6622/7385/6389/4695/1349/4702/4708/4724/1716/4710/4709/440567/4720/54949/4722/4713/1329/126328/374291/51103/51142/27089/7384/1351/4728/4723/4694/29796/4726/9377/4712/4717/65018/23479/4705/891/790955/1337/1327/4696/4697/4700/4731/11315/10975/4716/6390/4706/1340/7386",0.761460801445585
"GO:0042775","mitochondrial ATP synthesis coupled electron transport",74,-0.614006972921055,-2.44624164277753,5.98534349821361e-09,1.21275442743114e-06,8.04626147269095e-07,3795,"tags=72%, list=27%, signal=53%","7388/9167/6391/6622/7385/6389/4695/1349/4702/4708/4724/1716/4710/4709/440567/4720/54949/4722/4713/1329/126328/374291/51103/51142/27089/7384/1351/4728/4723/4694/29796/4726/9377/4712/4717/65018/23479/4705/891/790955/1337/1327/4696/4697/4700/4731/11315/10975/4716/6390/4706/1340/7386",0.761460801445585
"GO:0140053","mitochondrial gene expression",167,-0.545945209128066,-2.41640838828898,1e-10,3.6725e-08,2.43659347598096e-08,2702,"tags=46%, list=19%, signal=38%","5018/285367/51373/6472/84545/51253/57505/64928/84705/8846/51067/118487/80222/115416/84148/9238/124995/5442/5188/51649/28973/740/65003/64981/26589/128308/55687/116541/122704/90480/6832/64975/79590/7818/23438/10573/78988/51073/51116/51204/3028/708/23107/84881/10922/64963/64976/29093/7284/28958/51264/54938/63875/26995/29074/56652/64979/54998/54948/219927/60528/3396/81892/65993/23395/6182/80324/65005/51258/51335/51654/51081/84769/124454/6183/26164/55052",NA
"GO:0006119","oxidative phosphorylation",110,-0.583491585455259,-2.41578786075439,1e-10,3.6725e-08,2.43659347598096e-08,3313,"tags=62%, list=23%, signal=48%","6389/4695/1349/4702/4708/387/4724/84275/1716/215/4710/84300/4709/440567/54539/4720/54949/4722/4713/6472/1329/126328/374291/51103/51142/27089/513/7384/1351/4728/65990/4723/10632/4694/29796/30968/506/4726/9377/84277/4712/4717/522/65018/23479/4705/10476/521/891/790955/1337/1327/4696/9551/4697/4700/7415/4731/11315/10975/4716/6390/10105/9555/4706/1340/7386/514",NA
"GO:0015986","proton motive force-driven ATP synthesis",63,-0.627413744302486,-2.40824797981595,8.48074144864894e-09,1.61947423548944e-06,1.07447252735543e-06,3350,"tags=67%, list=24%, signal=51%","517/6389/4695/4702/4708/4724/4710/4709/54539/4720/4722/4713/126328/374291/513/4728/65990/4723/518/10632/4694/30968/506/4726/84277/4712/4717/84833/9556/522/4705/10476/521/4696/9551/4700/4731/516/4716/6390/4706/514",0.747739663149885
"GO:0009145","purine nucleoside triphosphate biosynthetic process",90,-0.59087033213893,-2.38985472941596,5.83844157337512e-10,1.69505823719241e-07,1.12462024292738e-07,3350,"tags=61%, list=24%, signal=47%","517/6389/4695/4702/4708/4832/4724/4710/226/4709/54539/4720/4722/4713/126328/374291/513/4728/65990/4723/518/10632/4694/30968/506/4726/84277/7040/4712/10201/4717/84833/9556/522/65018/4705/3614/10476/521/790955/4696/9551/4700/7415/4731/516/5604/142/4716/2023/6390/4830/56848/4706/514",0.801215574617779
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",90,-0.59087033213893,-2.38985472941596,5.83844157337512e-10,1.69505823719241e-07,1.12462024292738e-07,3350,"tags=61%, list=24%, signal=47%","517/6389/4695/4702/4708/4832/4724/4710/226/4709/54539/4720/4722/4713/126328/374291/513/4728/65990/4723/518/10632/4694/30968/506/4726/84277/7040/4712/10201/4717/84833/9556/522/65018/4705/3614/10476/521/790955/4696/9551/4700/7415/4731/516/5604/142/4716/2023/6390/4830/56848/4706/514",0.801215574617779
"GO:0019646","aerobic electron transport chain",69,-0.617318668040674,-2.38383055542465,8.54385658614239e-09,1.61947423548944e-06,1.07447252735543e-06,3795,"tags=72%, list=27%, signal=53%","7388/9167/6391/6622/7385/6389/4695/1349/4702/4708/4724/4710/4709/440567/4720/54949/4722/4713/1329/126328/374291/51103/27089/7384/1351/4728/4723/4694/29796/4726/9377/4712/4717/65018/23479/4705/790955/1337/1327/4696/4697/4700/4731/11315/10975/4716/6390/4706/1340/7386",0.747739663149885
"GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",30,-0.731268143504057,-2.3832714810474,1.17263572859467e-07,1.86227230843845e-05,1.23556175826852e-05,2370,"tags=57%, list=17%, signal=47%","6227/5822/10171/6223/29777/6217/85395/65095/84916/90121/88745/23212/10607/161424/9277/8602/57647",0.704975715167238
"GO:0009201","ribonucleoside triphosphate biosynthetic process",96,-0.581111296182653,-2.38321185118161,3.29951292435195e-10,1.07710766352734e-07,7.14628592479184e-08,3350,"tags=60%, list=24%, signal=46%","517/6389/4695/4702/4708/4832/4724/4710/226/4709/54539/4720/4722/4713/126328/374291/513/4728/65990/4723/518/10632/4694/30968/506/4726/84277/7040/4712/10201/4717/84833/9556/522/65018/790/4705/3614/10476/521/790955/4696/9551/4700/7415/4731/1503/516/5604/142/4716/2023/6390/4830/56848/7371/4706/514",0.814035837847908
"GO:0000244","spliceosomal tri-snRNP complex assembly",37,-0.700171460338492,-2.37325404900756,1.28692749153341e-07,1.93897075391034e-05,1.28644887381779e-05,3011,"tags=73%, list=21%, signal=58%","9410/25804/57819/23020/9128/6632/6637/10594/9129/10713/51690/9733/9092/4809/7375/6636/11157/6628/10078/27339/9416/10421/24148/25980/9343/26121/6633",0.690132458796796
"GO:0009152","purine ribonucleotide biosynthetic process",121,-0.557384336037516,-2.36864771380355,1e-10,3.6725e-08,2.43659347598096e-08,3350,"tags=56%, list=24%, signal=43%","517/6389/4695/107/4702/4708/4832/4724/9060/4710/226/4709/203/54539/4720/4722/4713/2987/126328/374291/513/4728/65990/4723/518/10632/4694/271/30968/506/4726/84277/7040/4712/10201/4717/109/84833/9556/522/204/65018/4705/3614/10476/521/790955/4696/9551/353/4700/2618/7415/4731/516/5604/142/111/4716/2023/6390/4830/56848/471/4706/514/4923/5198",NA
"GO:0006754","ATP biosynthetic process",82,-0.590740093435489,-2.3529098998849,3.01114122476685e-09,6.55313549508519e-07,4.34780863023658e-07,3350,"tags=62%, list=24%, signal=48%","517/6389/4695/4702/4708/4724/4710/226/4709/54539/4720/4722/4713/126328/374291/513/4728/65990/4723/518/10632/4694/30968/506/4726/84277/7040/4712/4717/84833/9556/522/65018/4705/10476/521/790955/4696/9551/4700/7415/4731/516/5604/142/4716/2023/6390/56848/4706/514",0.774939030136436
