"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0000387","spliceosomal snRNP assembly",69,-0.690370712963241,-2.6659274785185,1e-10,3.6725e-08,2.43659347598096e-08,3011,"tags=68%, list=21%, signal=54%","9410/25804/57819/23020/25929/9128/10291/10907/6632/6637/10594/8175/9129/6626/10713/51690/10992/9733/83443/9092/6627/4809/84844/7375/6636/11157/79833/6631/6628/50628/79084/10262/10078/27339/9416/10421/24148/54496/79760/25980/9343/6625/10419/26121/23450/79171/6633",NA
"GO:0030490","maturation of SSU-rRNA",69,-0.679813214474671,-2.6251587657145,1e-10,3.6725e-08,2.43659347598096e-08,2370,"tags=49%, list=17%, signal=41%","6227/5822/51504/10171/10813/6223/10528/10436/29777/4809/56902/6217/27341/85395/65095/84916/115939/90121/11157/88745/23212/26574/10607/161424/79050/9277/9136/55272/8602/57647/92856/2091/28987/65083",NA
"GO:0032543","mitochondrial translation",127,-0.604613488987629,-2.5940920787125,1e-10,3.6725e-08,2.43659347598096e-08,2702,"tags=50%, list=19%, signal=41%","5018/285367/51373/6472/84545/51253/57505/64928/8846/51067/118487/80222/115416/124995/5188/51649/28973/740/65003/64981/26589/128308/116541/122704/90480/64975/79590/7818/23438/10573/78988/51073/51116/51204/708/23107/84881/64963/64976/29093/7284/28958/51264/54938/63875/26995/29074/64979/54998/54948/219927/3396/65993/23395/6182/65005/51258/51335/51081/84769/124454/6183/26164/55052",NA
"GO:0042273","ribosomal large subunit biogenesis",75,-0.648630072882134,-2.55846059409412,1e-10,3.6725e-08,2.43659347598096e-08,2391,"tags=40%, list=17%, signal=33%","23246/387338/51504/57418/115416/8225/10969/22907/26168/27043/3692/55178/81554/56342/7284/23212/51550/90441/6838/51491/54663/117246/26155/4706/9875/23481/51154/26164/55794/81887",NA
"GO:0140053","mitochondrial gene expression",167,-0.545945209128066,-2.41640838828898,1e-10,3.6725e-08,2.43659347598096e-08,2702,"tags=46%, list=19%, signal=38%","5018/285367/51373/6472/84545/51253/57505/64928/84705/8846/51067/118487/80222/115416/84148/9238/124995/5442/5188/51649/28973/740/65003/64981/26589/128308/55687/116541/122704/90480/6832/64975/79590/7818/23438/10573/78988/51073/51116/51204/3028/708/23107/84881/10922/64963/64976/29093/7284/28958/51264/54938/63875/26995/29074/56652/64979/54998/54948/219927/60528/3396/81892/65993/23395/6182/80324/65005/51258/51335/51654/51081/84769/124454/6183/26164/55052",NA
"GO:0006119","oxidative phosphorylation",110,-0.583491585455259,-2.41578786075439,1e-10,3.6725e-08,2.43659347598096e-08,3313,"tags=62%, list=23%, signal=48%","6389/4695/1349/4702/4708/387/4724/84275/1716/215/4710/84300/4709/440567/54539/4720/54949/4722/4713/6472/1329/126328/374291/51103/51142/27089/513/7384/1351/4728/65990/4723/10632/4694/29796/30968/506/4726/9377/84277/4712/4717/522/65018/23479/4705/10476/521/891/790955/1337/1327/4696/9551/4697/4700/7415/4731/11315/10975/4716/6390/10105/9555/4706/1340/7386/514",NA
"GO:0009152","purine ribonucleotide biosynthetic process",121,-0.557384336037516,-2.36864771380355,1e-10,3.6725e-08,2.43659347598096e-08,3350,"tags=56%, list=24%, signal=43%","517/6389/4695/107/4702/4708/4832/4724/9060/4710/226/4709/203/54539/4720/4722/4713/2987/126328/374291/513/4728/65990/4723/518/10632/4694/271/30968/506/4726/84277/7040/4712/10201/4717/109/84833/9556/522/204/65018/4705/3614/10476/521/790955/4696/9551/353/4700/2618/7415/4731/516/5604/142/111/4716/2023/6390/4830/56848/471/4706/514/4923/5198",NA
"GO:0046390","ribose phosphate biosynthetic process",141,-0.538479363834948,-2.33273048307295,1e-10,3.6725e-08,2.43659347598096e-08,3350,"tags=54%, list=24%, signal=42%","517/6389/4695/107/4702/4708/4832/4724/9060/4710/226/4709/203/54539/4720/4722/4713/2987/126328/374291/513/4728/65990/4723/518/10632/4694/271/30968/506/4726/84277/7040/978/4712/10201/4717/5631/109/84833/9556/522/204/65018/790/4705/3614/10476/521/790955/4696/9551/353/4700/2618/7415/4731/5635/1503/516/5604/142/111/4716/1723/2023/6390/4830/56848/7371/471/4706/7378/514/4923/5198",NA
"GO:0042255","ribosome assembly",63,-0.601832894030626,-2.31005913465817,1.21110197648398e-07,1.87274610889996e-05,1.24251081037832e-05,2391,"tags=46%, list=17%, signal=38%","23246/5822/387338/79863/27349/115416/8225/2197/6223/22907/29777/3692/27341/51116/55178/708/81554/26284/7284/23212/64745/51335/84769/4706/51154/57647/64763/26164/55794",0.690132458796796
"GO:0006353","DNA-templated transcription termination",45,-0.649678915121508,-2.30615342227231,1.87461071323435e-07,2.68663720755245e-05,1.78250311565691e-05,1906,"tags=47%, list=13%, signal=41%","284119/5434/27297/64425/5435/661/80742/5430/10849/171568/9533/5514/80335/5441/25885/51728/55718/11128/23211/10419/29101",0.690132458796796
