"ID","Description","NES","p.adjust","neg_log10_padj"
"GO:0007264","small GTPase-mediated signal transduction",1.58364011303176,0.000450548654584588,3.34625830285
"GO:0048667","cell morphogenesis involved in neuron differentiation",1.60893926472461,0.00171110696794305,2.76672284017526
"GO:0046777","protein autophosphorylation",1.78945901620385,0.0114052578431225,1.94289489201123
"GO:0007409","axonogenesis",1.56469624911682,0.0114052578431225,1.94289489201123
"GO:0061564","axon development",1.5848277799854,0.0121817394828733,1.91429069250168
"GO:0000387","spliceosomal snRNP assembly",-2.6659274785185,3.6725e-08,7.43503819553771
"GO:0030490","maturation of SSU-rRNA",-2.6251587657145,3.6725e-08,7.43503819553771
"GO:0032543","mitochondrial translation",-2.5940920787125,3.6725e-08,7.43503819553771
"GO:0042273","ribosomal large subunit biogenesis",-2.55846059409412,3.6725e-08,7.43503819553771
"GO:0140053","mitochondrial gene expression",-2.41640838828898,3.6725e-08,7.43503819553771
