"ID","Description","NES","p.adjust","Hallmark","neg_log10_padj"
"HALLMARK_UV_RESPONSE_DN","Genes down-regulated in response to ultraviolet (UV) radiation.",2.20936384662723,3.0215325725233e-07,"UV RESPONSE DN",6.51977271963797
"HALLMARK_HEME_METABOLISM","Genes involved in metabolism of heme (a cofactor consisting of iron and porphyrin) and erythroblast differentiation.",2.06883374764376,7.31275773723783e-07,"HEME METABOLISM",6.13591881398496
"HALLMARK_ANDROGEN_RESPONSE","Genes defining response to androgens.",1.69167398907921,0.00811474062305809,"ANDROGEN RESPONSE",2.0907253572641
"HALLMARK_MITOTIC_SPINDLE","Genes important for mitotic spindle assembly.",1.53977870328143,0.010254053060943,"MITOTIC SPINDLE",1.98910443957603
"HALLMARK_PROTEIN_SECRETION","Genes involved in protein secretion pathway.",1.49836093381888,0.0276197396802362,"PROTEIN SECRETION",1.55878041902204
"HALLMARK_MYC_TARGETS_V2","A subgroup of genes regulated by MYC - version 2 (v2).",-2.85374512771868,1.66666666666667e-09,"MYC TARGETS V2",8.77815125038364
"HALLMARK_MYC_TARGETS_V1","A subgroup of genes regulated by MYC - version 1 (v1).",-2.42344991911923,1.66666666666667e-09,"MYC TARGETS V1",8.77815125038364
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","Genes encoding proteins involved in oxidative phosphorylation.",-2.30343256696321,1.66666666666667e-09,"OXIDATIVE PHOSPHORYLATION",8.77815125038364
"HALLMARK_DNA_REPAIR","Genes involved in DNA repair.",-2.16492319750311,3.0215325725233e-07,"DNA REPAIR",6.51977271963797
"HALLMARK_E2F_TARGETS","Genes encoding cell cycle related targets of E2F transcription factors.",-1.90926556884983,5.72334633468869e-06,"E2F TARGETS",5.24234997299897
