"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa03040","Spliceosome",141,-0.566502703281137,-2.43254768134984,1e-10,1.17333333333333e-08,4.52999924989337e-09,3015,"tags=48%, list=21%, signal=38%","5093/9410/7307/6427/25804/57819/55702/22794/23020/4116/79228/9128/6100/10291/10907/6632/6637/8449/151903/10594/8175/51729/9129/56259/3183/6626/56949/10713/51690/10465/1659/10992/199746/83443/9092/84321/8563/6627/4809/22985/3310/84844/3190/7536/6636/11157/10523/3312/10084/6631/6628/4670/55696/10262/10189/27339/9416/11338/24148/8896/9775/9343/2521/6625/26121/23450/9785/6633",NA
"hsa03008","Ribosome biogenesis in eukaryotes",75,-0.597769211063765,-2.37991867060699,9.56147072415015e-09,4.80805384985836e-07,1.85629093749761e-07,2498,"tags=41%, list=18%, signal=34%","138716/5822/10775/10171/10813/57455/102724159/10940/55505/10528/54552/10436/4809/3692/55651/10482/27341/10248/84916/54433/10607/51367/54913/5901/55272/29107/92856/6949/2091/28987/65083",0.747739663149885
"hsa03050","Proteasome",43,-0.674178087893648,-2.3585272151773,9.60526869501918e-08,3.75672731182972e-06,1.45039533278204e-06,2202,"tags=51%, list=16%, signal=43%","5721/7979/5691/5696/5692/51371/5689/5709/5693/5694/5695/5710/5702/5717/9491/5708/10197/5705/11047/5688/5704/5714",0.704975715167238
"hsa00190","Oxidative phosphorylation",104,-0.564438995346117,-2.34221807584825,1.23074101538096e-09,8.66441674828197e-08,3.34515352589326e-08,4153,"tags=64%, list=29%, signal=46%","1537/498/10063/533/1347/7388/9167/537/6391/7385/517/6389/4695/1349/4702/4708/4724/4710/529/4709/440567/54539/4720/8992/4722/4713/1329/126328/374291/27089/513/7384/1351/4728/9296/4723/518/10632/4694/29796/506/4726/9377/4712/4717/1352/522/4705/10476/521/1337/1327/4696/9551/4697/4700/4731/516/10975/4716/6390/9114/4706/1340/7386/514/155066",0.788186810800237
"hsa05012","Parkinson disease",216,-0.496641885240669,-2.29035243527875,1e-10,1.17333333333333e-08,4.52999924989337e-09,3350,"tags=50%, list=24%, signal=39%","517/6389/4695/79861/1349/4702/7314/4708/4724/147700/5713/7311/4710/5715/91252/7157/4709/440567/54539/4720/5686/4722/4713/1329/126328/374291/25828/27089/1616/808/513/7384/7316/27173/1351/7846/4728/7979/4723/518/4694/203068/29796/2778/506/29985/7922/4726/9377/7317/5691/842/5692/292/4712/4717/10383/522/5689/65018/84617/5709/4705/7332/10476/6647/5693/1337/1327/5694/4696/10376/9817/581/7280/5695/7345/4697/4700/5335/5710/10131/4731/5702/11315/291/516/84790/5717/10975/9246/111/9927/4716/6390/10105/118424/5708/7277/4706/1340/5705/11047/7416/7386/514/5688/5704/5714",NA
"hsa03010","Ribosome",170,-0.488266046774358,-2.17773239282745,1.59602305920047e-09,9.36333528064274e-08,3.61499163049532e-08,3941,"tags=45%, list=28%, signal=33%","11224/6203/84311/25873/116832/29088/64978/6176/6231/6169/6152/6210/6209/51069/10884/109910381/54460/7311/6187/55168/6137/51021/64949/6218/23521/6158/51373/84545/51253/6193/64928/6227/51121/118487/124995/2197/6205/51649/28973/740/65003/64981/6223/26589/128308/116541/122704/90480/64975/6217/79590/7818/10573/78988/51073/51116/6141/23107/64963/64976/29093/51264/63875/6166/29074/64979/54998/54948/219927/3396/65993/6182/65005/51258/51081/6183/55052",0.788186810800237
"hsa03020","RNA polymerase",34,-0.654359506838995,-2.15802619923799,6.94596273134768e-06,0.000188075298571876,7.26120137602899e-05,1901,"tags=50%, list=13%, signal=43%","5434/27297/64425/5435/661/5436/5430/10849/171568/5438/9533/5441/25885/51728/55718/5432/11128",0.610526878385931
"hsa05020","Prion disease",210,-0.454819721567543,-2.08712008783377,1.11088564887599e-08,4.88789685505437e-07,1.88711668354709e-07,3350,"tags=44%, list=24%, signal=34%","517/6389/4695/79861/1349/4702/4708/4724/147700/5713/4710/5715/4709/440567/54539/4720/5686/10963/4722/4713/1329/126328/374291/27089/513/7384/1351/7846/4728/7979/4723/4851/518/4694/203068/29796/506/4726/9377/5691/842/5692/292/4712/4717/10383/3310/522/5689/84617/1535/5709/4705/10476/6647/5693/1337/1327/5694/4696/10376/6352/3312/581/7280/5695/4697/4700/5710/5880/4731/5702/291/516/84790/5717/10975/4716/6390/10105/5708/7277/4706/1340/5705/11047/7416/7386/514/5688/3553/5704/5714",0.747739663149885
"hsa05016","Huntington disease",251,-0.445682702609516,-2.07904026445576,6.94944456760781e-10,6.11551121949487e-08,2.36107340088292e-08,3350,"tags=47%, list=24%, signal=36%","517/6389/4695/79861/1349/4702/4708/3064/4724/147700/5713/4710/5715/7157/1639/1742/4709/6874/440567/54539/4720/5686/2877/4722/1173/4713/11258/1329/10121/126328/2475/2876/374291/163/5439/27089/7186/513/7384/7052/1351/7846/4728/7979/4723/518/4694/160/4899/203068/29796/506/5434/23130/4726/9377/5691/842/5692/5435/292/4712/5330/5436/4717/10383/522/5689/84617/5709/4705/10476/6647/5693/1337/6804/1327/5694/4696/10376/1211/60673/5430/581/7280/5695/4697/4700/5710/4731/5702/291/516/84790/5438/2878/5717/10975/5441/1175/4716/6390/5432/10105/5708/7277/4706/1340/5705/11047/7416/7386/1212/514/5688/5704/5714",0.801215574617779
"hsa05014","Amyotrophic lateral sclerosis",298,-0.435399140587611,-2.0727848148241,1e-10,1.17333333333333e-08,4.52999924989337e-09,3313,"tags=42%, list=23%, signal=33%","6389/4695/79861/1349/4702/71/4708/4724/147700/9973/5713/4710/60/5715/7157/1639/310/4709/440567/54539/4720/5686/2877/4722/4713/11258/1329/10121/126328/2475/2876/374291/27089/7186/1616/513/7384/1351/7846/4728/7979/4723/5216/518/4694/4218/203068/29796/400916/100101267/506/23130/4726/5606/9883/9377/5691/842/9542/5692/4712/4717/10383/522/5689/65018/84617/5709/11273/4705/7132/10476/6647/10482/5693/1337/1327/5694/4696/10376/6396/60673/581/84134/7280/5695/4697/4700/7415/5710/4731/5702/516/56893/84790/2878/5717/10975/10189/10280/23511/4716/29107/79902/6390/2521/23636/5708/8021/7277/4706/1340/5705/11047/7416/10452/7386/8878/514/8480/5688/9688/5704/5714",NA
