"pathway","ENTREZID","SYMBOL","GENENAME"
"Hallmark_MYC_Targets_V2","1019","CDK4","cyclin dependent kinase 4"
"Hallmark_MYC_Targets_V2","10171","RCL1","RNA terminal phosphate cyclase like 1"
"Hallmark_MYC_Targets_V2","9238","TBRG4","transforming growth factor beta regulator 4"
"Hallmark_MYC_Targets_V2","4609","MYC","MYC proto-oncogene, bHLH transcription factor"
"Hallmark_MYC_Targets_V2","10528","NOP56","NOP56 ribonucleoprotein"
"Hallmark_MYC_Targets_V2","6832","SUPV3L1","Suv3 like RNA helicase"
"Hallmark_MYC_Targets_V2","4174","MCM5","minichromosome maintenance complex component 5"
"Hallmark_MYC_Targets_V2","1844","DUSP2","dual specificity phosphatase 2"
"Hallmark_MYC_Targets_V2","56342","PPAN","peter pan homolog"
"Hallmark_MYC_Targets_V2","2193","FARSA","phenylalanyl-tRNA synthetase subunit alpha"
"Hallmark_MYC_Targets_V2","6573","SLC19A1","solute carrier family 19 member 1"
"Hallmark_MYC_Targets_V2","5347","PLK1","polo like kinase 1"
"Hallmark_MYC_Targets_V2","79050","NOC4L","nucleolar complex associated 4 homolog"
"Hallmark_MYC_Targets_V2","5245","PHB1","prohibitin 1"
"Hallmark_MYC_Targets_V2","10244","RABEPK","Rab9 effector protein with kelch motifs"
"Hallmark_MYC_Targets_V2","705","BYSL","bystin like"
"Hallmark_MYC_Targets_V2","7374","UNG","uracil DNA glycosylase"
"Hallmark_MYC_Targets_V2","10514","MYBBP1A","MYB binding protein 1a"
"Hallmark_MYC_Targets_V2","9136","RRP9","ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"
"Hallmark_MYC_Targets_V2","80324","PUS1","pseudouridine synthase 1"
"Hallmark_MYC_Targets_V2","51491","NOP16","NOP16 nucleolar protein"
"Hallmark_MYC_Targets_V2","54663","WDR74","WD repeat domain 74"
"Hallmark_MYC_Targets_V2","5036","PA2G4","proliferation-associated 2G4"
"Hallmark_MYC_Targets_V2","23481","PES1","pescadillo ribosomal biogenesis factor 1"
"Hallmark_MYC_Targets_V2","79077","DCTPP1","dCTP pyrophosphatase 1"
"Hallmark_MYC_Targets_V2","51154","MRTO4","MRT4 homolog, ribosome maturation factor"
"Hallmark_MYC_Targets_V2","23223","RRP12","ribosomal RNA processing 12 homolog"
"Hallmark_MYC_Targets_V2","92856","IMP4","IMP U3 small nucleolar ribonucleoprotein 4"
"Hallmark_MYC_Targets_V2","23082","PPRC1","PPARG related coactivator 1"
"Hallmark_MYC_Targets_V2","6949","TCOF1","treacle ribosome biogenesis factor 1"
"Hallmark_MYC_Targets_V2","6723","SRM","spermidine synthase"
"Hallmark_MYC_Targets_V2","56915","EXOSC5","exosome component 5"
"Hallmark_MYC_Targets_V2","7965","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2"
