"pathway","ENTREZID","SYMBOL","GENENAME"
"Hallmark_MYC_Targets_V2","6832","SUPV3L1","Suv3 like RNA helicase"
"Hallmark_Oxidative_Phosphorylation","7388","UQCRH","ubiquinol-cytochrome c reductase hinge protein"
"Hallmark_Oxidative_Phosphorylation","9167","COX7A2L","cytochrome c oxidase subunit 7A2 like"
"Hallmark_Oxidative_Phosphorylation","537","ATP6AP1","ATPase H+ transporting accessory protein 1"
"Hallmark_Oxidative_Phosphorylation","6391","SDHC","succinate dehydrogenase complex subunit C"
"Hallmark_Oxidative_Phosphorylation","7385","UQCRC2","ubiquinol-cytochrome c reductase core protein 2"
"Hallmark_Oxidative_Phosphorylation","517","ATP5MC2","ATP synthase membrane subunit c locus 2"
"Hallmark_Oxidative_Phosphorylation","6389","SDHA","succinate dehydrogenase complex flavoprotein subunit A"
"Hallmark_Oxidative_Phosphorylation","4695","NDUFA2","NADH:ubiquinone oxidoreductase subunit A2"
"Hallmark_Oxidative_Phosphorylation","1349","COX7B","cytochrome c oxidase subunit 7B"
"Hallmark_Oxidative_Phosphorylation","4702","NDUFA8","NADH:ubiquinone oxidoreductase subunit A8"
"Hallmark_Oxidative_Phosphorylation","4708","NDUFB2","NADH:ubiquinone oxidoreductase subunit B2"
"Hallmark_Oxidative_Phosphorylation","4724","NDUFS4","NADH:ubiquinone oxidoreductase subunit S4"
"Hallmark_Oxidative_Phosphorylation","4710","NDUFB4","NADH:ubiquinone oxidoreductase subunit B4"
"Hallmark_Oxidative_Phosphorylation","529","ATP6V1E1","ATPase H+ transporting V1 subunit E1"
"Hallmark_Oxidative_Phosphorylation","4709","NDUFB3","NADH:ubiquinone oxidoreductase subunit B3"
"Hallmark_Oxidative_Phosphorylation","4720","NDUFS2","NADH:ubiquinone oxidoreductase core subunit S2"
"Hallmark_Oxidative_Phosphorylation","8992","ATP6V0E1","ATPase H+ transporting V0 subunit e1"
"Hallmark_Oxidative_Phosphorylation","4722","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3"
"Hallmark_Oxidative_Phosphorylation","4713","NDUFB7","NADH:ubiquinone oxidoreductase subunit B7"
"Hallmark_Oxidative_Phosphorylation","1329","COX5B","cytochrome c oxidase subunit 5B"
"Hallmark_Oxidative_Phosphorylation","374291","NDUFS7","NADH:ubiquinone oxidoreductase core subunit S7"
"Hallmark_Oxidative_Phosphorylation","27089","UQCRQ","ubiquinol-cytochrome c reductase complex III subunit VII"
"Hallmark_Oxidative_Phosphorylation","513","ATP5F1D","ATP synthase F1 subunit delta"
"Hallmark_Oxidative_Phosphorylation","7384","UQCRC1","ubiquinol-cytochrome c reductase core protein 1"
"Hallmark_Oxidative_Phosphorylation","1351","COX8A","cytochrome c oxidase subunit 8A"
"Hallmark_Oxidative_Phosphorylation","4728","NDUFS8","NADH:ubiquinone oxidoreductase core subunit S8"
"Hallmark_Oxidative_Phosphorylation","9296","ATP6V1F","ATPase H+ transporting V1 subunit F"
"Hallmark_Oxidative_Phosphorylation","4723","NDUFV1","NADH:ubiquinone oxidoreductase core subunit V1"
"Hallmark_Oxidative_Phosphorylation","518","ATP5MC3","ATP synthase membrane subunit c locus 3"
"Hallmark_Oxidative_Phosphorylation","10632","ATP5MG","ATP synthase membrane subunit g"
"Hallmark_Oxidative_Phosphorylation","4694","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1"
"Hallmark_Oxidative_Phosphorylation","29796","UQCR10","ubiquinol-cytochrome c reductase, complex III subunit X"
"Hallmark_Oxidative_Phosphorylation","506","ATP5F1B","ATP synthase F1 subunit beta"
"Hallmark_Oxidative_Phosphorylation","4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6"
"Hallmark_Oxidative_Phosphorylation","9377","COX5A","cytochrome c oxidase subunit 5A"
"Hallmark_Oxidative_Phosphorylation","4712","NDUFB6","NADH:ubiquinone oxidoreductase subunit B6"
"Hallmark_Oxidative_Phosphorylation","4717","NDUFC1","NADH:ubiquinone oxidoreductase subunit C1"
